Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
ATP-citrate lyase,X64330_at,1000,P,1213,P,1425,P,994,P,843,P,235,P,1452,P,1201,P,789,P,1251,P,685,P,719,P,2229,P,413,P,273,P,1083,P,535,P,813,P,628,P,1212,P,1480,P,656,P,1531,P,810,P,796,P,1014,P,480,P,779,P,461,P,859,P,718,P,551,P,657,P,230,M,512,P,843,P,919,P,740,P,"
"
60S RIBOSOMAL PROTEIN L13,X64707_at,8408,P,7491,P,9729,P,6500,P,8321,P,11335,P,8225,P,9132,P,10997,P,8999,P,8509,P,9416,P,15594,P,12191,P,4689,P,9874,P,5545,P,11024,P,11235,P,7944,P,6322,P,6175,P,9400,P,10540,P,8491,P,9850,P,4396,P,9942,P,7384,P,7058,P,7363,P,8831,P,7962,P,7193,P,5319,P,6710,P,8178,P,8768,P,"
"
RpS8 gene for ribosomal protein S8,X67247_rna1_at,22121,P,24116,P,24471,P,23569,P,24961,P,22805,P,22140,P,23118,P,25435,P,23798,P,21446,P,24886,P,22440,P,29644,P,21561,P,23256,P,22814,P,22486,P,25114,P,23042,P,23877,P,23810,P,22514,P,25131,P,24881,P,24793,P,24311,P,24896,P,23847,P,20451,P,23674,P,24452,P,22388,P,24872,P,24350,P,25810,P,24508,P,22816,P,"
"
PAGA Proliferation-associated gene A (natural killer-enhancing factor A),X67951_at,4144,P,5380,P,7330,P,7604,P,4708,P,1762,P,5863,P,10739,P,5100,P,1127,P,3663,P,3712,P,7821,P,1006,P,430,P,12722,P,3468,P,5968,P,3865,P,989,P,1479,P,1715,P,3656,P,1427,P,2735,P,1720,P,784,P,1670,P,699,P,797,P,634,P,305,P,2440,P,686,P,2053,P,1317,P,7233,P,480,P,"
"
Alpha-tubulin mRNA,X68277_at,3987,P,2825,P,7373,P,5648,P,7819,P,2162,P,5028,P,7081,P,4960,P,3236,P,859,P,5501,P,16079,P,10631,P,7516,P,8351,P,17076,P,9977,P,4920,P,6021,P,1854,P,1458,P,4562,P,4171,P,2545,P,2624,P,1043,P,5058,P,639,P,7331,P,8203,P,3902,P,13157,P,1422,P,7224,P,1007,P,8209,P,8432,P,"
"
"Alpha1-antichymotrypsin, exon 1",X68733_rna1_at,550,P,763,P,305,P,707,P,1100,P,388,P,329,P,218,P,686,P,1370,P,529,P,531,P,361,P,346,P,358,P,477,P,341,P,350,P,965,P,425,P,579,P,617,P,885,P,455,P,358,P,429,P,660,P,387,P,519,P,809,P,717,P,460,P,484,P,229,P,356,P,782,P,1104,P,1038,P,"
"
Ribosomal protein S18,X69150_at,20344,P,21956,P,23571,P,25618,P,22246,P,22321,P,21599,P,21069,P,23515,P,22465,P,24083,P,24158,P,17808,P,27652,P,21500,P,24400,P,23935,P,21167,P,24107,P,21055,P,21494,P,20086,P,20951,P,22888,P,23974,P,22066,P,20414,P,23354,P,22852,P,20907,P,21493,P,24854,P,21847,P,26072,P,20852,P,24393,P,23699,P,23734,P,"
"
RPL6 Ribosomal protein L6,X69391_at,12458,P,12727,P,14929,P,11890,P,10823,P,7975,P,10950,P,11904,P,11960,P,11175,P,11478,P,12962,P,16568,P,12083,P,9599,P,13622,P,6788,P,10420,P,13902,P,12421,P,12935,P,9771,P,12336,P,9508,P,14687,P,12895,P,11015,P,12412,P,10070,P,11305,P,11971,P,13051,P,11828,P,10632,P,11467,P,12585,P,12988,P,9668,P,"
"
Rho GDP-dissociation Inhibitor 1,X69550_at,2804,P,3012,P,2529,P,3167,P,3720,P,1588,P,4811,P,2305,P,3010,P,4206,P,1756,P,3051,P,4497,P,783,P,2804,P,2939,P,1242,P,4004,P,3053,P,4081,P,3690,P,3287,P,4859,P,4328,P,3998,P,2759,P,2157,P,3758,P,2503,P,7095,P,3716,P,3808,P,4186,P,2166,P,5908,P,4529,P,4593,P,5961,P,"
"
RNA-BINDING PROTEIN FUS/TLS,X71428_at,4631,P,3243,P,3397,P,4423,P,4849,P,1468,P,3098,P,3478,P,3906,P,6431,P,1536,P,3023,P,8307,P,2429,P,3031,P,4179,P,2748,P,2950,P,2808,P,4481,P,5364,P,4966,P,6074,P,5161,P,4460,P,4624,P,4806,P,3722,P,3246,P,5065,P,3824,P,3332,P,5848,P,1549,P,4634,P,4521,P,4715,P,5299,P,"
"
Retinoblastoma-binding protein (RbAp46) mRNA,X72841_at,612,P,641,P,954,P,258,M,260,P,537,P,1917,P,1208,P,820,P,1788,P,687,P,304,P,1586,P,700,P,273,P,925,P,686,P,548,P,287,P,713,P,648,P,554,P,1486,P,627,P,882,P,1074,P,505,P,537,P,384,P,399,P,673,P,828,P,1028,P,752,P,406,P,507,P,568,P,367,P,"
"
CALT Caltractin (20kD calcium-binding protein),X72964_at,1283,P,662,P,734,P,499,P,917,P,1096,P,1067,P,704,P,737,P,1017,P,439,P,307,P,992,P,627,P,381,P,871,P,557,P,562,P,655,P,569,P,1021,P,401,P,1247,P,711,P,555,P,680,P,890,P,623,P,476,P,452,P,561,P,498,P,642,P,382,P,654,P,723,P,741,P,638,P,"
"
RPL3 Ribosomal protein L3,X73460_at,16446,P,17335,P,20994,P,19861,P,15406,P,17681,P,16966,P,19412,P,21090,P,19094,P,21572,P,19685,P,18069,P,13573,P,17340,P,18841,P,18956,P,18366,P,16954,P,16711,P,15984,P,16798,P,19623,P,21461,P,18921,P,18184,P,20602,P,19296,P,16062,P,17993,P,18254,P,20483,P,19476,P,18630,P,17818,P,18676,P,19530,P,17974,P,"
"
"PPP1CC Protein phosphatase 1, catalytic subunit, gamma isoform",X74008_at,1317,P,1016,P,1927,P,651,P,796,P,547,P,1469,P,1908,P,1576,P,1909,P,1360,P,1191,P,2906,P,3824,P,1104,P,1146,P,569,P,776,P,691,P,869,P,1531,P,1162,P,2207,P,1393,P,1413,P,1586,P,1410,P,610,P,533,P,1173,P,929,P,855,P,902,P,731,P,1452,P,882,P,906,P,440,P,"
"
"SSR2 Signal sequence receptor, beta",X74104_at,1359,P,1287,P,2055,P,1199,P,1469,P,635,P,1525,P,1805,P,1803,P,2631,P,1598,P,1347,P,3531,P,605,P,1018,P,1962,P,1017,P,1288,P,858,P,1694,P,1848,P,1043,P,3918,P,1634,P,3037,P,1794,P,1203,P,1612,P,1247,P,1989,P,1341,P,1433,P,1478,P,1477,P,2668,P,1640,P,1560,P,1456,P,"
"
CDC46 HOMOLOG,X74795_at,2792,P,1681,P,2557,P,1681,P,1589,P,1382,P,3242,P,2868,P,2092,P,5967,P,1889,P,1528,P,2984,P,1068,P,1103,P,2133,P,1378,P,2550,P,1411,P,2755,P,3184,P,4786,P,4262,P,3920,P,2463,P,2109,P,1938,P,1496,P,1574,P,2112,P,2975,P,2950,P,3525,P,2112,P,1916,P,1980,P,1341,P,2472,P,"
"
TEGT Testis enhanced gene transcript,X75861_at,1820,P,1322,P,1614,P,878,P,1181,P,916,P,1686,P,2108,P,1289,P,4367,P,947,P,1192,P,2634,P,317,M,928,P,1969,P,1030,P,855,P,438,P,2189,P,2232,P,949,P,2723,P,1499,P,2110,P,1538,P,1267,P,1214,P,791,P,3090,P,2486,P,1981,P,2067,P,1749,P,3259,P,1950,P,3026,P,2042,P,"
"
GLUTAMINYL-TRNA SYNTHETASE,X76013_at,2124,P,2182,P,2861,P,1823,P,1938,P,918,P,1664,P,3025,P,2416,P,2408,P,1749,P,2044,P,5709,P,979,P,1297,P,3009,P,1296,P,1945,P,1698,P,1825,P,1354,P,1346,P,713,P,1624,P,2369,P,2569,P,1621,P,2281,P,1738,P,1844,P,2175,P,2460,P,2039,P,1847,P,1994,P,1594,P,2255,P,1284,P,"
"
PAP mRNA,X76770_at,1553,P,1417,P,706,P,1297,P,1563,P,620,P,773,P,711,P,640,P,1521,P,441,P,790,P,1091,P,347,P,609,P,921,P,603,P,778,P,1152,P,839,P,1409,P,976,P,1006,P,830,P,527,P,989,P,811,P,1058,P,1002,P,749,P,718,P,820,P,1062,P,371,P,821,P,1263,P,1187,P,1573,P,"
"
TXN Thioredoxin,X77584_at,1180,P,1335,P,2196,P,1110,P,834,P,1465,P,1810,P,1678,P,1661,P,3860,P,1856,P,1462,P,1086,P,3640,P,455,P,1431,P,1775,P,951,P,979,P,2216,P,3245,P,2021,P,5311,P,3924,P,4614,P,2889,P,2650,P,2620,P,1695,P,1700,P,2054,P,1427,P,2377,P,2375,P,3781,P,2760,P,3366,P,3435,P,"
"
HnRNP-E2 mRNA,X78136_at,7558,P,8575,P,8059,P,6863,P,6360,P,4698,P,6708,P,10561,P,6012,P,12425,P,7282,P,7881,P,13299,P,1945,P,7591,P,9366,P,7250,P,5036,P,4403,P,7993,P,7271,P,7201,P,12224,P,9459,P,8723,P,5443,P,6408,P,7943,P,4159,P,9334,P,10464,P,14023,P,9273,P,6924,P,11871,P,6925,P,8322,P,9086,P,"
"
Ribosomal protein L11,X79234_at,12625,P,9942,P,16848,P,9997,P,10576,P,12033,P,14192,P,16602,P,16257,P,15725,P,15092,P,13226,P,16296,P,20182,P,12314,P,14486,P,16802,P,15654,P,13001,P,11891,P,10231,P,9564,P,15437,P,15498,P,15715,P,14333,P,7768,P,15894,P,10298,P,13567,P,15964,P,17958,P,15522,P,18645,P,15622,P,10825,P,13951,P,15330,P,"
"
MLN51 mRNA,X80199_at,1757,P,1721,P,1685,P,1851,P,2338,P,609,P,2306,P,1612,P,1457,P,3058,P,1161,P,1269,P,3389,P,2136,P,1272,P,2121,P,1102,P,1455,P,1576,P,1607,P,2187,P,1424,P,2258,P,1451,P,1775,P,2021,P,1732,P,1333,P,1399,P,1872,P,1343,P,3037,P,1747,P,1039,P,1378,P,1387,P,1835,P,1627,P,"
"
MLN62 mRNA,X80200_at,1721,P,1753,P,1934,P,1762,P,2525,P,1281,P,1154,P,1260,P,1376,P,1598,P,1469,P,1041,P,2936,P,659,P,3848,P,1681,P,1756,P,1048,P,1667,P,2254,P,3071,P,1399,P,2964,P,1830,P,5347,P,1428,P,1521,P,1729,P,1308,P,1755,P,1128,P,2542,P,2757,P,1091,P,1540,P,1753,P,2491,P,2070,P,"
"
mRNA (clone C-2k) mRNA for serine/threonine protein kinase,X80230_at,659,P,902,P,880,P,873,P,818,P,212,P,1855,P,1396,P,1696,P,704,P,235,P,1565,P,2471,P,261,M,617,P,1052,P,622,P,1266,P,755,P,498,P,554,P,312,P,312,P,587,P,605,P,563,P,325,P,491,P,264,P,469,P,319,P,269,P,393,P,273,P,639,P,351,P,788,P,366,P,"
"
60S RIBOSOMAL PROTEIN L18A,X80822_at,14002,P,14490,P,16640,P,22242,P,17197,P,21201,P,17001,P,13074,P,16362,P,12966,P,16561,P,17232,P,11286,P,9673,P,18212,P,15518,P,16700,P,15796,P,20629,P,14512,P,15718,P,23235,P,13821,P,18876,P,16326,P,13925,P,20642,P,15084,P,21888,P,17075,P,15099,P,16906,P,14566,P,20054,P,12633,P,18740,P,15073,P,14937,P,"
"
Alpha NAC mRNA,X80909_at,8097,P,10165,P,10857,P,7281,P,5257,P,5791,P,5327,P,11078,P,9891,P,14728,P,5892,P,8542,P,14808,P,19055,P,6530,P,10136,P,8513,P,7887,P,4959,P,8988,P,6633,P,5848,P,11555,P,7477,P,9580,P,8921,P,6182,P,10031,P,7069,P,6038,P,8508,P,9352,P,9169,P,9133,P,8163,P,6450,P,8292,P,6999,P,"
"
EMD Emerin (Emery-Dreifuss muscular dystrophy),X82434_at,1935,P,1715,P,1323,P,824,P,1124,P,1754,P,1671,P,1036,P,1274,P,1491,P,406,P,1387,P,1571,P,449,P,1311,P,1001,P,1513,P,968,P,1192,P,1451,P,996,P,1024,P,1474,P,1556,P,932,P,1285,P,1242,P,1162,P,454,P,1485,P,2312,P,2505,P,2275,P,1015,P,2582,P,1470,P,1789,P,2111,P,"
"
MLN50 mRNA,X82456_at,3500,P,1616,P,2603,P,1448,P,1547,P,694,P,3586,P,2458,P,4277,P,9742,P,2904,P,2081,P,5052,P,2494,P,1205,P,1898,P,663,P,3538,P,1177,P,2698,P,2682,P,1474,P,4026,P,1705,P,2599,P,4138,P,897,P,1658,P,1050,P,2603,P,2051,P,2329,P,1712,P,2002,P,2734,P,2356,P,2546,P,1006,P,"
"
"ATP5O ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)",X83218_at,1433,P,1603,P,2255,P,984,P,766,P,3263,P,1437,P,2190,P,1544,P,1465,P,1010,P,1056,P,3560,P,3696,P,881,P,2233,P,3065,P,1454,P,727,P,1536,P,2048,P,1388,P,3059,P,1367,P,2049,P,1798,P,1387,P,1184,P,1009,P,1528,P,1366,P,1245,P,1392,P,1582,P,1822,P,1543,P,1284,P,896,P,"
"
Sm protein F,X85372_at,333,P,857,P,1785,P,430,P,394,P,436,P,864,P,1797,P,1125,P,1101,P,775,P,773,P,2406,P,1645,P,447,P,1215,P,694,P,794,P,478,P,1183,P,2183,P,1228,P,2283,P,1609,P,1683,P,1216,P,1135,P,421,P,298,P,761,P,658,P,479,P,719,P,861,P,854,P,612,P,488,P,710,P,"
"
"CTNNB1 Catenin (cadherin-associated protein), beta 1 (88kD)",X87838_at,1724,P,1481,P,1270,P,1572,P,1260,P,379,P,1988,P,1720,P,2085,P,2112,P,1374,P,2061,P,1488,P,2067,P,1450,P,1308,P,691,P,781,P,1899,P,1499,P,1216,P,572,P,1409,P,824,P,1794,P,1326,P,935,P,1182,P,916,P,2236,P,2939,P,1949,P,2570,P,599,P,3795,P,1615,P,2021,P,3448,P,"
"
TXNRD1 Thioredoxin reductase,X91247_at,924,P,1153,P,975,P,1186,P,1223,P,536,P,746,P,1435,P,1039,P,3028,P,990,P,797,P,1978,P,898,P,744,P,1225,P,1104,P,736,P,1271,P,1026,P,1508,P,897,P,1355,P,814,P,1242,P,1494,P,914,P,1029,P,836,P,691,P,1480,P,1831,P,1003,P,784,P,803,P,1058,P,977,P,1352,P,"
"
SERYL-TRNA SYNTHETASE,X91257_at,1580,P,1596,P,1689,P,1371,P,1428,P,458,P,1148,P,1455,P,1764,P,2024,P,1149,P,1563,P,2467,P,903,P,1076,P,1476,P,1115,P,1608,P,1575,P,1045,P,1243,P,1242,P,2151,P,1406,P,1500,P,1385,P,1136,P,1223,P,1072,P,937,P,807,P,1522,P,977,P,723,P,1206,P,630,P,905,P,701,P,"
"
CFL1 Cofilin 1 (non-muscle),X95404_at,12387,P,12183,P,11820,P,10573,P,12244,P,9264,P,10020,P,12151,P,13424,P,17529,P,7676,P,8018,P,14245,P,6768,P,8016,P,8173,P,8931,P,14746,P,12221,P,11446,P,15000,P,15237,P,16204,P,16445,P,12872,P,11905,P,9738,P,10802,P,8105,P,17347,P,13928,P,8840,P,9379,P,9110,P,17292,P,12236,P,12701,P,11383,P,"
"
"PSMB5 Proteasome (prosome, macropain) subunit, beta type, 5",X95586_at,1116,P,1229,P,1659,P,959,P,1007,P,469,P,899,P,1114,P,908,P,1283,P,1070,P,429,P,1534,P,588,P,417,P,1021,P,571,P,653,P,851,P,510,P,592,P,515,P,898,P,476,P,716,P,869,P,436,P,839,P,752,P,759,P,601,P,762,P,918,P,514,P,715,P,633,P,572,P,962,P,"
"
FAN protein,X96586_at,513,P,594,P,791,P,552,P,554,P,106,P,895,P,541,P,573,P,2964,P,192,P,427,P,1327,P,477,P,351,P,833,P,185,P,302,P,348,P,510,P,696,P,350,P,836,P,385,P,391,P,696,P,310,P,724,P,454,P,569,P,378,P,402,P,471,P,187,P,481,P,401,P,711,P,915,P,"
"
Ptg-1 protein,X97302_at,789,P,757,P,428,P,1239,P,1595,P,323,P,417,P,390,P,764,P,1162,P,611,P,526,P,706,P,367,P,538,P,587,P,631,P,550,P,1256,P,488,P,868,P,522,P,837,P,576,P,433,P,709,P,909,P,828,P,901,P,695,P,1131,P,1756,P,809,P,626,P,566,P,599,P,770,P,1182,P,"
"
SMT3B protein,X99585_at,967,P,920,P,1299,P,702,P,818,P,671,P,1097,P,1360,P,806,P,1150,P,729,P,749,P,1655,P,399,P,339,P,1077,P,690,P,511,P,535,P,1031,P,1428,P,1248,P,1509,P,1128,P,1320,P,976,P,867,P,556,P,452,P,507,P,695,P,481,P,766,P,439,P,810,P,738,P,1118,P,548,P,"
"
"PTPRC Protein tyrosine phosphatase, receptor type, c polypeptide",Y00062_at,1122,P,1747,P,2700,P,1414,P,358,P,347,P,185,P,2582,P,1078,P,4988,P,1476,P,276,P,940,P,367,P,128,P,3269,P,118,P,391,P,190,P,2231,P,2597,P,1260,P,2624,P,1029,P,728,P,3881,P,273,M,838,P,355,P,1577,P,1440,P,1534,P,781,P,1156,P,1413,P,600,P,1414,P,1468,P,"
"
RPN1 Ribophorin I,Y00281_at,1351,P,1389,P,1283,P,1576,P,1196,P,1072,P,1590,P,1392,P,1253,P,3101,P,697,P,1516,P,2274,P,1020,P,712,P,1853,P,1021,P,1227,P,1149,P,1925,P,1881,P,981,P,3441,P,1323,P,994,P,1343,P,600,M,1394,P,2837,P,2031,P,1636,P,1278,P,1278,P,1182,P,1170,P,2274,P,1413,P,1133,P,"
"
RPN2 Ribophorin II,Y00282_at,1475,P,1521,P,2417,P,1418,P,1107,P,1212,P,2435,P,2844,P,1382,P,5095,P,1478,P,1741,P,3688,P,1110,P,508,P,1660,P,1364,P,2968,P,1106,P,2651,P,1762,P,1278,P,3933,P,1564,P,3369,P,2957,P,941,P,3109,P,1642,P,3550,P,2767,P,1395,P,2452,P,2391,P,4926,P,4560,P,3348,P,2221,P,"
"
GPX1 Glutathione peroxidase 1,Y00433_at,7546,P,9491,P,10367,P,9862,P,5885,P,7798,P,14517,P,12831,P,9547,P,17789,P,5040,P,11238,P,12045,P,1387,P,1726,P,9198,P,8571,P,8671,P,3059,P,9601,P,2917,P,2263,P,5917,P,3389,P,2128,P,3531,P,1891,P,10231,P,7848,P,15634,P,15257,P,12466,P,11792,P,12354,P,15956,P,17123,P,13056,P,9888,P,"
"
ARH9 Aplysia ras-related homolog 9,Y00764_at,1637,P,1945,P,2622,P,1268,P,1067,P,1336,P,1706,P,2829,P,1729,P,1804,P,1343,P,1600,P,1609,P,4898,P,1180,P,2037,P,1571,P,1272,P,1479,P,2092,P,2886,P,1330,P,3517,P,2004,P,2417,P,2284,P,1651,P,2458,P,1644,P,2088,P,1978,P,1692,P,2677,P,1778,P,3759,P,1463,P,2054,P,1558,P,"
"
CRM1 protein,Y08614_at,993,P,1134,P,1802,P,903,P,673,P,270,P,1865,P,1853,P,2088,P,3347,P,693,P,1301,P,2936,P,1679,P,366,P,1368,P,692,P,885,P,653,P,992,P,918,P,531,P,1468,P,785,P,414,P,927,P,455,P,554,P,430,P,841,P,195,P,1710,P,334,P,287,P,546,P,449,P,417,P,411,P,"
"
EEF1A1 Translation elongation factor 1-alpha-1,Z12962_at,16258,P,16017,P,17258,P,21839,P,18941,P,21422,P,17200,P,13949,P,16611,P,12980,P,19784,P,17364,P,11534,P,17004,P,19089,P,17425,P,17104,P,16959,P,21804,P,14570,P,17002,P,24528,P,13124,P,18969,P,16973,P,14992,P,26771,P,15993,P,28688,P,17519,P,14637,P,16728,P,14474,P,20657,P,13374,P,19274,P,16071,P,15942,P,"
"
COX7B Cytochrome c oxidase subunit VIIb,Z14244_at,1295,P,1483,P,1920,P,712,P,404,P,1542,P,1781,P,1922,P,1161,P,1081,P,509,P,800,P,3726,P,2810,P,610,P,903,P,1188,P,704,P,780,P,1692,P,1838,P,1114,P,1837,P,1109,P,1610,P,1421,P,920,P,410,P,367,P,962,P,1568,P,1197,P,1006,P,1951,P,2017,P,948,P,716,P,822,P,"
"
EEF1D Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),Z21507_at,1820,P,1301,P,2778,P,278,P,526,P,971,P,3559,P,4952,P,3415,P,2642,P,1214,P,2425,P,6719,P,4116,P,1698,P,3138,P,1040,P,3729,P,583,P,3141,P,2787,P,2178,P,5658,P,4568,P,2945,P,1573,P,1615,P,1135,P,1262,P,1559,P,476,P,1553,P,613,P,1682,P,1327,P,159,P,1489,P,517,P,"
"
HNRPG Heterogeneous nuclear ribonucleoprotein G,Z23064_at,1732,P,1272,P,1742,P,950,P,1253,P,737,P,1271,P,1491,P,1232,P,2813,P,782,P,1086,P,3205,P,743,P,1182,P,1450,P,945,P,918,P,913,P,1146,P,1689,P,928,P,2204,P,895,P,1510,P,1026,P,997,P,778,P,646,P,721,P,710,P,805,P,1452,P,748,P,1020,P,771,P,790,P,1132,P,"
"
Ribosomal protein S7,Z25749_rna1_at,8616,P,8786,P,12713,P,7626,P,6357,P,10268,P,6158,P,13110,P,10458,P,9213,P,9526,P,9007,P,14813,P,16014,P,8222,P,9995,P,6826,P,7656,P,6115,P,10125,P,8843,P,7612,P,13527,P,9083,P,13381,P,12465,P,7964,P,9153,P,6504,P,7346,P,9243,P,10640,P,11610,P,13071,P,9857,P,8897,P,10190,P,7750,P,"
"
LTBP1 Latent transforming growth factor beta binding protein 1,Z26876_at,14113,P,13183,P,15733,P,17559,P,16046,P,18741,P,15392,P,15872,P,14160,P,13376,P,15097,P,15531,P,14007,P,22822,P,15325,P,17095,P,16232,P,13818,P,18657,P,15157,P,14557,P,17872,P,14903,P,14193,P,17035,P,15857,P,16827,P,16472,P,14980,P,15628,P,15021,P,16527,P,14177,P,18676,P,16731,P,16166,P,16021,P,13416,P,"
"
Alpha-CP1 mRNA,Z29505_at,3115,P,2403,P,4232,P,3267,P,1593,P,497,P,3148,P,3767,P,1967,P,7721,P,2404,P,2137,P,5857,P,3203,P,1155,P,5404,P,1389,P,2623,P,1207,P,2989,P,2688,P,2210,P,5010,P,2078,P,3358,P,3907,P,2036,P,2853,P,2065,P,4304,P,3120,P,2689,P,2864,P,1859,P,4293,P,1989,P,1888,P,3992,P,"
"
BAT1 mRNA for nuclear RNA helicase (DEAD family),Z37166_at,4181,P,4018,P,4227,P,4045,P,3440,P,1207,P,6268,P,5176,P,4316,P,9654,P,1692,P,3291,P,6967,P,2197,P,3108,P,4878,P,3078,P,3352,P,2154,P,4510,P,4479,P,3712,P,4398,P,3360,P,4640,P,4352,P,4189,P,6740,P,3784,P,6190,P,2845,P,5210,P,3941,P,1785,P,4452,P,2452,P,2217,P,3035,P,"
"
Phenylalkylamine binding protein,Z37986_at,1633,P,1293,P,1353,P,1391,P,1593,P,1557,P,1643,P,1396,P,1063,P,2713,P,1403,P,1108,P,1553,P,828,P,1065,P,1339,P,1891,P,1441,P,1301,P,1767,P,2256,P,1417,P,2853,P,1190,P,2201,P,1705,P,1341,P,1362,P,747,P,1743,P,1459,P,1826,P,1587,P,927,P,1800,P,1136,P,1452,P,1685,P,"
"
"TCEB1L Transcription elongation factor B (SIII), polypeptide 1-like ",Z47087_at,512,P,464,P,648,P,626,P,604,P,380,P,664,P,547,P,484,P,629,P,302,P,627,P,1261,P,411,P,388,P,629,P,608,P,321,P,572,P,626,P,843,P,414,P,1022,P,490,P,965,P,629,P,472,P,961,P,290,P,665,P,834,P,1194,P,958,P,511,P,524,P,684,P,786,P,1141,P,"
"
RNA polymerase II subunit,Z47727_at,627,P,941,P,952,P,887,P,965,P,458,P,690,P,959,P,642,P,819,P,420,P,317,P,892,P,364,P,576,P,1121,P,667,P,274,P,481,P,880,P,1364,P,839,P,845,P,625,P,636,P,848,P,704,P,427,P,473,P,947,P,790,P,990,P,764,P,402,P,677,P,733,P,754,P,797,P,"
"
mRNA encoding GPI-anchored protein p137,Z48042_at,1565,P,1975,P,2540,P,1890,P,1428,P,547,P,1888,P,2633,P,2639,P,5365,P,1251,P,2139,P,4294,P,605,P,941,P,1989,P,885,P,396,P,1340,P,1315,P,2224,P,1595,P,2181,P,1544,P,1317,P,1814,P,1311,P,1245,P,694,M,1674,P,1086,P,1052,P,1436,P,1274,P,1852,P,1283,P,1434,P,1489,P,"
"
HISTONE H3.3,Z48950_at,8463,P,8847,P,9449,P,9010,P,7849,P,7219,P,9713,P,8024,P,7524,P,15597,P,2345,P,5856,P,15567,P,13083,P,11352,P,10048,P,15900,P,4344,P,7987,P,18588,P,11821,P,9106,P,9488,P,16262,P,6239,P,3590,P,9437,P,19492,P,5008,P,14429,P,13153,P,22818,P,15874,P,7689,P,13880,P,10841,P,11570,P,13832,P,"
"
Mitochondrial 16S rRNA gene (partial),Z70759_at,16514,P,17725,P,18478,P,23368,P,22750,P,22499,P,16115,P,17202,P,17758,P,13650,P,17088,P,16394,P,12561,P,16516,P,20884,P,19097,P,16712,P,15863,P,22109,P,15019,P,18028,P,23815,P,15343,P,20021,P,16251,P,16465,P,29408,P,18918,P,35610,P,18196,P,17081,P,15609,P,15942,P,19006,P,14031,P,19948,P,18095,P,17089,P,"
"
"RPLP2 Hemoglobin, beta",AB002533_at,10933,P,13028,P,15706,P,14684,P,12647,P,15758,P,12570,P,17153,P,13026,P,14106,P,11157,P,12318,P,17585,P,14678,P,13940,P,15029,P,7905,P,16113,P,13943,P,14011,P,11214,P,17956,P,14755,P,12749,P,14354,P,12852,P,18969,P,11382,P,18795,P,12421,P,12796,P,12671,P,13236,P,17577,P,13527,P,11077,P,11441,P,14496,P,"
"
"2',3'-cyclic-nucleotide 3'-phosphodiesterase gene extracted from Human 2',3'-cyclic-nucleotide 3'-phosphodiesterase gene",D13146_cds1_at,2343,P,2182,P,1859,P,1478,P,2908,P,1024,P,2578,P,2034,P,2053,P,5074,P,1992,P,1753,P,3591,P,1835,P,1635,P,2304,P,1969,P,2346,P,1551,P,2230,P,2564,P,1102,P,3626,P,1505,P,1636,P,2247,P,2352,P,2694,P,1772,P,1937,P,2646,P,3592,P,2367,P,1426,P,2138,P,1731,P,2309,P,3234,P,"
"
MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,D38073_at,994,P,680,P,950,P,509,P,331,P,314,P,1991,P,1030,P,675,P,1730,P,762,P,800,P,1158,P,1185,P,141,P,1145,P,521,P,700,P,456,P,539,P,1441,P,1258,P,1973,P,664,P,884,P,1062,P,773,P,238,P,382,P,245,P,267,P,342,P,832,P,294,P,148,P,309,P,259,P,256,P,"
"
"FNTA Farnesyltransferase, CAAX box, alpha",L10413_at,1922,P,1691,P,2150,P,1599,P,746,P,229,P,2080,P,2127,P,1278,P,3519,P,635,P,764,P,3716,P,2347,P,591,P,2198,P,660,P,937,P,790,P,917,P,859,P,645,P,1957,P,410,P,787,P,2035,P,384,P,768,P,507,P,693,P,405,P,480,P,452,P,494,P,937,P,472,P,777,P,709,P,"
"
MITOCHONDRIAL STRESS-70 PROTEIN PRECURSOR,L11066_at,1208,P,741,P,2024,P,1238,P,852,P,514,P,1962,P,1702,P,1960,P,2823,P,916,P,3135,P,4245,P,1861,P,906,P,1396,P,1183,P,1456,P,1637,P,1584,P,1348,P,711,P,2811,P,1796,P,3020,P,2195,P,962,P,1337,P,1055,P,1708,P,1147,P,1787,P,3663,P,1570,P,1779,P,1004,P,589,P,2407,P,"
"
